"human" "cell_type1"
"human1_lib1.final_cell_0001" 1 "acinar"
"human1_lib1.final_cell_0002" 1 "acinar"
"human1_lib1.final_cell_0003" 1 "acinar"
"human1_lib1.final_cell_0004" 1 "acinar"
"human1_lib1.final_cell_0005" 1 "acinar"
"human1_lib1.final_cell_0006" 1 "acinar"
"human1_lib1.final_cell_0007" 1 "beta"
"human1_lib1.final_cell_0008" 1 "acinar"
"human1_lib1.final_cell_0009" 1 "acinar"
"human1_lib1.final_cell_0010" 1 "acinar"
"human1_lib1.final_cell_0011" 1 "acinar"
"human1_lib1.final_cell_0012" 1 "acinar"
"human1_lib1.final_cell_0013" 1 "delta"
"human1_lib1.final_cell_0014" 1 "delta"
"human1_lib1.final_cell_0015" 1 "beta"
"human1_lib1.final_cell_0016" 1 "activated_stellate"
"human1_lib1.final_cell_0017" 1 "beta"
"human1_lib1.final_cell_0018" 1 "acinar"
"human1_lib1.final_cell_0019" 1 "ductal"
"human1_lib1.final_cell_0020" 1 "beta"
"human1_lib1.final_cell_0021" 1 "beta"
"human1_lib1.final_cell_0022" 1 "alpha"
"human1_lib1.final_cell_0023" 1 "ductal"
"human1_lib1.final_cell_0024" 1 "beta"
"human1_lib1.final_cell_0025" 1 "delta"
"human1_lib1.final_cell_0026" 1 "alpha"
"human1_lib1.final_cell_0027" 1 "beta"
"human1_lib1.final_cell_0028" 1 "acinar"
"human1_lib1.final_cell_0029" 1 "acinar"
"human1_lib1.final_cell_0030" 1 "beta"
"human1_lib1.final_cell_0031" 1 "delta"
"human1_lib1.final_cell_0032" 1 "delta"
"human1_lib1.final_cell_0033" 1 "delta"
"human1_lib1.final_cell_0034" 1 "delta"
"human1_lib1.final_cell_0035" 1 "beta"
"human1_lib1.final_cell_0036" 1 "acinar"
"human1_lib1.final_cell_0037" 1 "beta"
"human1_lib1.final_cell_0038" 1 "beta"
"human1_lib1.final_cell_0039" 1 "beta"
"human1_lib1.final_cell_0040" 1 "delta"
"human1_lib1.final_cell_0041" 1 "activated_stellate"
"human1_lib1.final_cell_0042" 1 "beta"
"human1_lib1.final_cell_0043" 1 "delta"
"human1_lib1.final_cell_0044" 1 "activated_stellate"
"human1_lib1.final_cell_0045" 1 "activated_stellate"
"human1_lib1.final_cell_0046" 1 "activated_stellate"
"human1_lib1.final_cell_0047" 1 "acinar"
"human1_lib1.final_cell_0048" 1 "activated_stellate"
"human1_lib1.final_cell_0049" 1 "delta"
"human1_lib1.final_cell_0050" 1 "beta"
"human1_lib1.final_cell_0051" 1 "delta"
"human1_lib1.final_cell_0052" 1 "beta"
"human1_lib1.final_cell_0053" 1 "acinar"
"human1_lib1.final_cell_0054" 1 "beta"
"human1_lib1.final_cell_0055" 1 "beta"
"human1_lib1.final_cell_0056" 1 "activated_stellate"
"human1_lib1.final_cell_0057" 1 "beta"
"human1_lib1.final_cell_0058" 1 "beta"
"human1_lib1.final_cell_0059" 1 "beta"
"human1_lib1.final_cell_0060" 1 "beta"
"human1_lib1.final_cell_0061" 1 "ductal"
"human1_lib1.final_cell_0062" 1 "alpha"
"human1_lib1.final_cell_0063" 1 "beta"
"human1_lib1.final_cell_0064" 1 "ductal"
"human1_lib1.final_cell_0065" 1 "ductal"
"human1_lib1.final_cell_0066" 1 "acinar"
"human1_lib1.final_cell_0067" 1 "alpha"
"human1_lib1.final_cell_0068" 1 "beta"
"human1_lib1.final_cell_0069" 1 "delta"
"human1_lib1.final_cell_0070" 1 "alpha"
"human1_lib1.final_cell_0071" 1 "beta"
"human1_lib1.final_cell_0072" 1 "beta"
"human1_lib1.final_cell_0073" 1 "beta"
"human1_lib1.final_cell_0074" 1 "delta"
"human1_lib1.final_cell_0075" 1 "beta"
"human1_lib1.final_cell_0076" 1 "beta"
"human1_lib1.final_cell_0077" 1 "delta"
"human1_lib1.final_cell_0078" 1 "beta"
"human1_lib1.final_cell_0079" 1 "beta"
"human1_lib1.final_cell_0080" 1 "beta"
"human1_lib1.final_cell_0081" 1 "beta"
"human1_lib1.final_cell_0082" 1 "beta"
"human1_lib1.final_cell_0083" 1 "beta"
"human1_lib1.final_cell_0084" 1 "acinar"
"human1_lib1.final_cell_0085" 1 "activated_stellate"
"human1_lib1.final_cell_0086" 1 "delta"
"human1_lib1.final_cell_0087" 1 "delta"
"human1_lib1.final_cell_0088" 1 "beta"
"human1_lib1.final_cell_0089" 1 "beta"
"human1_lib1.final_cell_0090" 1 "beta"
"human1_lib1.final_cell_0091" 1 "beta"
"human1_lib1.final_cell_0092" 1 "beta"
"human1_lib1.final_cell_0093" 1 "beta"
"human1_lib1.final_cell_0094" 1 "beta"
"human1_lib1.final_cell_0095" 1 "beta"
"human1_lib1.final_cell_0096" 1 "beta"
"human1_lib1.final_cell_0097" 1 "beta"
"human1_lib1.final_cell_0098" 1 "delta"
"human1_lib1.final_cell_0099" 1 "delta"
"human1_lib1.final_cell_0100" 1 "beta"
"human1_lib1.final_cell_0101" 1 "delta"
"human1_lib1.final_cell_0102" 1 "alpha"
"human1_lib1.final_cell_0103" 1 "alpha"
"human1_lib1.final_cell_0104" 1 "delta"
"human1_lib1.final_cell_0105" 1 "beta"
"human1_lib1.final_cell_0106" 1 "beta"
"human1_lib1.final_cell_0107" 1 "beta"
"human1_lib1.final_cell_0108" 1 "beta"
"human1_lib1.final_cell_0109" 1 "acinar"
"human1_lib1.final_cell_0110" 1 "delta"
"human1_lib1.final_cell_0111" 1 "beta"
"human1_lib1.final_cell_0112" 1 "beta"
"human1_lib1.final_cell_0113" 1 "delta"
"human1_lib1.final_cell_0114" 1 "beta"
"human1_lib1.final_cell_0115" 1 "beta"
"human1_lib1.final_cell_0116" 1 "beta"
"human1_lib1.final_cell_0117" 1 "delta"
"human1_lib1.final_cell_0118" 1 "beta"
"human1_lib1.final_cell_0119" 1 "delta"
"human1_lib1.final_cell_0120" 1 "beta"
"human1_lib1.final_cell_0121" 1 "beta"
"human1_lib1.final_cell_0122" 1 "beta"
"human1_lib1.final_cell_0123" 1 "epsilon"
"human1_lib1.final_cell_0124" 1 "beta"
"human1_lib1.final_cell_0125" 1 "beta"
"human1_lib1.final_cell_0126" 1 "beta"
"human1_lib1.final_cell_0127" 1 "delta"
"human1_lib1.final_cell_0128" 1 "beta"
"human1_lib1.final_cell_0129" 1 "delta"
"human1_lib1.final_cell_0130" 1 "beta"
"human1_lib1.final_cell_0131" 1 "alpha"
"human1_lib1.final_cell_0132" 1 "alpha"
"human1_lib1.final_cell_0133" 1 "beta"
"human1_lib1.final_cell_0134" 1 "acinar"
"human1_lib1.final_cell_0135" 1 "alpha"
"human1_lib1.final_cell_0136" 1 "beta"
"human1_lib1.final_cell_0137" 1 "beta"
"human1_lib1.final_cell_0138" 1 "alpha"
"human1_lib1.final_cell_0139" 1 "beta"
"human1_lib1.final_cell_0140" 1 "delta"
"human1_lib1.final_cell_0141" 1 "beta"
"human1_lib1.final_cell_0142" 1 "beta"
"human1_lib1.final_cell_0143" 1 "beta"
"human1_lib1.final_cell_0144" 1 "beta"
"human1_lib1.final_cell_0145" 1 "beta"
"human1_lib1.final_cell_0146" 1 "delta"
"human1_lib1.final_cell_0147" 1 "beta"
"human1_lib1.final_cell_0148" 1 "ductal"
"human1_lib1.final_cell_0149" 1 "ductal"
"human1_lib1.final_cell_0150" 1 "beta"
"human1_lib1.final_cell_0151" 1 "beta"
"human1_lib1.final_cell_0152" 1 "beta"
"human1_lib1.final_cell_0153" 1 "beta"
"human1_lib1.final_cell_0154" 1 "delta"
"human1_lib1.final_cell_0155" 1 "beta"
"human1_lib1.final_cell_0156" 1 "activated_stellate"
"human1_lib1.final_cell_0157" 1 "beta"
"human1_lib1.final_cell_0158" 1 "beta"
"human1_lib1.final_cell_0159" 1 "alpha"
"human1_lib1.final_cell_0160" 1 "beta"
"human1_lib1.final_cell_0161" 1 "alpha"
"human1_lib1.final_cell_0162" 1 "beta"
"human1_lib1.final_cell_0163" 1 "gamma"
"human1_lib1.final_cell_0164" 1 "beta"
"human1_lib1.final_cell_0165" 1 "beta"
"human1_lib1.final_cell_0166" 1 "beta"
"human1_lib1.final_cell_0167" 1 "beta"
"human1_lib1.final_cell_0168" 1 "beta"
"human1_lib1.final_cell_0169" 1 "beta"
"human1_lib1.final_cell_0170" 1 "beta"
"human1_lib1.final_cell_0171" 1 "acinar"
"human1_lib1.final_cell_0172" 1 "beta"
"human1_lib1.final_cell_0173" 1 "acinar"
"human1_lib1.final_cell_0174" 1 "beta"
"human1_lib1.final_cell_0175" 1 "beta"
"human1_lib1.final_cell_0176" 1 "beta"
"human1_lib1.final_cell_0177" 1 "acinar"
"human1_lib1.final_cell_0178" 1 "delta"
"human1_lib1.final_cell_0179" 1 "beta"
"human1_lib1.final_cell_0180" 1 "delta"
"human1_lib1.final_cell_0181" 1 "beta"
"human1_lib1.final_cell_0182" 1 "acinar"
"human1_lib1.final_cell_0183" 1 "alpha"
"human1_lib1.final_cell_0184" 1 "beta"
"human1_lib1.final_cell_0185" 1 "alpha"
"human1_lib1.final_cell_0186" 1 "beta"
"human1_lib1.final_cell_0187" 1 "alpha"
"human1_lib1.final_cell_0188" 1 "endothelial"
"human1_lib1.final_cell_0189" 1 "beta"
"human1_lib1.final_cell_0190" 1 "beta"
"human1_lib1.final_cell_0191" 1 "alpha"
"human1_lib1.final_cell_0192" 1 "delta"
"human1_lib1.final_cell_0193" 1 "beta"
"human1_lib1.final_cell_0194" 1 "beta"
"human1_lib1.final_cell_0195" 1 "delta"
"human1_lib1.final_cell_0196" 1 "beta"
"human1_lib1.final_cell_0197" 1 "gamma"
"human1_lib1.final_cell_0198" 1 "alpha"
"human1_lib1.final_cell_0199" 1 "beta"
"human1_lib1.final_cell_0200" 1 "beta"
"human1_lib1.final_cell_0201" 1 "delta"
"human1_lib1.final_cell_0202" 1 "alpha"
"human1_lib1.final_cell_0203" 1 "ductal"
"human1_lib1.final_cell_0204" 1 "beta"
"human1_lib1.final_cell_0205" 1 "alpha"
"human1_lib1.final_cell_0206" 1 "beta"
"human1_lib1.final_cell_0207" 1 "ductal"
"human1_lib1.final_cell_0208" 1 "alpha"
"human1_lib1.final_cell_0209" 1 "ductal"
"human1_lib1.final_cell_0210" 1 "beta"
"human1_lib1.final_cell_0211" 1 "beta"
"human1_lib1.final_cell_0212" 1 "alpha"
"human1_lib1.final_cell_0213" 1 "beta"
"human1_lib1.final_cell_0214" 1 "beta"
"human1_lib1.final_cell_0215" 1 "quiescent_stellate"
"human1_lib1.final_cell_0216" 1 "ductal"
"human1_lib1.final_cell_0217" 1 "ductal"
"human1_lib1.final_cell_0218" 1 "endothelial"
"human1_lib1.final_cell_0219" 1 "activated_stellate"
"human1_lib1.final_cell_0220" 1 "beta"
"human1_lib1.final_cell_0221" 1 "delta"
"human1_lib1.final_cell_0222" 1 "gamma"
"human1_lib1.final_cell_0223" 1 "beta"
"human1_lib1.final_cell_0224" 1 "beta"
"human1_lib1.final_cell_0225" 1 "beta"
"human1_lib1.final_cell_0226" 1 "alpha"
"human1_lib1.final_cell_0227" 1 "beta"
"human1_lib1.final_cell_0228" 1 "beta"
"human1_lib1.final_cell_0229" 1 "delta"
"human1_lib1.final_cell_0230" 1 "ductal"
"human1_lib1.final_cell_0231" 1 "beta"
"human1_lib1.final_cell_0232" 1 "delta"
"human1_lib1.final_cell_0233" 1 "delta"
"human1_lib1.final_cell_0234" 1 "beta"
"human1_lib1.final_cell_0235" 1 "delta"
"human1_lib1.final_cell_0236" 1 "beta"
"human1_lib1.final_cell_0237" 1 "activated_stellate"
"human1_lib1.final_cell_0238" 1 "beta"
"human1_lib1.final_cell_0239" 1 "beta"
"human1_lib1.final_cell_0240" 1 "delta"
"human1_lib1.final_cell_0241" 1 "beta"
"human1_lib1.final_cell_0242" 1 "quiescent_stellate"
"human1_lib1.final_cell_0243" 1 "beta"
"human1_lib1.final_cell_0244" 1 "acinar"
"human1_lib1.final_cell_0245" 1 "alpha"
"human1_lib1.final_cell_0246" 1 "delta"
"human1_lib1.final_cell_0247" 1 "beta"
"human1_lib1.final_cell_0248" 1 "alpha"
"human1_lib1.final_cell_0249" 1 "beta"
"human1_lib1.final_cell_0250" 1 "endothelial"
"human1_lib1.final_cell_0251" 1 "delta"
"human1_lib1.final_cell_0252" 1 "delta"
"human1_lib1.final_cell_0253" 1 "beta"
"human1_lib1.final_cell_0254" 1 "beta"
"human1_lib1.final_cell_0255" 1 "delta"
"human1_lib1.final_cell_0256" 1 "gamma"
"human1_lib1.final_cell_0257" 1 "alpha"
"human1_lib1.final_cell_0258" 1 "beta"
"human1_lib1.final_cell_0259" 1 "beta"
"human1_lib1.final_cell_0260" 1 "beta"
"human1_lib1.final_cell_0261" 1 "ductal"
"human1_lib1.final_cell_0262" 1 "delta"
"human1_lib1.final_cell_0263" 1 "alpha"
"human1_lib1.final_cell_0264" 1 "beta"
"human1_lib1.final_cell_0265" 1 "gamma"
"human1_lib1.final_cell_0266" 1 "beta"
"human1_lib1.final_cell_0267" 1 "beta"
"human1_lib1.final_cell_0268" 1 "beta"
"human1_lib1.final_cell_0269" 1 "quiescent_stellate"
"human1_lib1.final_cell_0270" 1 "alpha"
"human1_lib1.final_cell_0271" 1 "delta"
"human1_lib1.final_cell_0272" 1 "alpha"
"human1_lib1.final_cell_0273" 1 "endothelial"
"human1_lib1.final_cell_0274" 1 "alpha"
"human1_lib1.final_cell_0275" 1 "delta"
"human1_lib1.final_cell_0276" 1 "beta"
"human1_lib1.final_cell_0277" 1 "gamma"
"human1_lib1.final_cell_0278" 1 "ductal"
"human1_lib1.final_cell_0279" 1 "alpha"
"human1_lib1.final_cell_0280" 1 "alpha"
"human1_lib1.final_cell_0281" 1 "delta"
"human1_lib1.final_cell_0282" 1 "beta"
"human1_lib1.final_cell_0283" 1 "beta"
"human1_lib1.final_cell_0284" 1 "ductal"
"human1_lib1.final_cell_0285" 1 "alpha"
