"mouse" "cell_type1"
"mouse1_lib1.final_cell_0001" 1 "beta"
"mouse1_lib1.final_cell_0002" 1 "ductal"
"mouse1_lib1.final_cell_0003" 1 "delta"
"mouse1_lib1.final_cell_0004" 1 "schwann"
"mouse1_lib1.final_cell_0005" 1 "delta"
"mouse1_lib1.final_cell_0006" 1 "beta"
"mouse1_lib1.final_cell_0007" 1 "beta"
"mouse1_lib1.final_cell_0008" 1 "beta"
"mouse1_lib1.final_cell_0009" 1 "beta"
"mouse1_lib1.final_cell_0010" 1 "ductal"
"mouse1_lib1.final_cell_0011" 1 "ductal"
"mouse1_lib1.final_cell_0012" 1 "beta"
"mouse1_lib1.final_cell_0013" 1 "beta"
"mouse1_lib1.final_cell_0014" 1 "delta"
"mouse1_lib1.final_cell_0015" 1 "beta"
"mouse1_lib1.final_cell_0016" 1 "ductal"
"mouse1_lib1.final_cell_0017" 1 "beta"
"mouse1_lib1.final_cell_0018" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0019" 1 "ductal"
"mouse1_lib1.final_cell_0020" 1 "ductal"
"mouse1_lib1.final_cell_0021" 1 "beta"
"mouse1_lib1.final_cell_0022" 1 "beta"
"mouse1_lib1.final_cell_0023" 1 "beta"
"mouse1_lib1.final_cell_0024" 1 "delta"
"mouse1_lib1.final_cell_0025" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0026" 1 "endothelial"
"mouse1_lib1.final_cell_0027" 1 "ductal"
"mouse1_lib1.final_cell_0028" 1 "ductal"
"mouse1_lib1.final_cell_0029" 1 "beta"
"mouse1_lib1.final_cell_0030" 1 "ductal"
"mouse1_lib1.final_cell_0031" 1 "ductal"
"mouse1_lib1.final_cell_0032" 1 "ductal"
"mouse1_lib1.final_cell_0033" 1 "gamma"
"mouse1_lib1.final_cell_0034" 1 "beta"
"mouse1_lib1.final_cell_0035" 1 "beta"
"mouse1_lib1.final_cell_0036" 1 "ductal"
"mouse1_lib1.final_cell_0037" 1 "ductal"
"mouse1_lib1.final_cell_0038" 1 "ductal"
"mouse1_lib1.final_cell_0039" 1 "delta"
"mouse1_lib1.final_cell_0040" 1 "beta"
"mouse1_lib1.final_cell_0041" 1 "beta"
"mouse1_lib1.final_cell_0042" 1 "ductal"
"mouse1_lib1.final_cell_0043" 1 "delta"
"mouse1_lib1.final_cell_0044" 1 "endothelial"
"mouse1_lib1.final_cell_0045" 1 "beta"
"mouse1_lib1.final_cell_0046" 1 "beta"
"mouse1_lib1.final_cell_0047" 1 "alpha"
"mouse1_lib1.final_cell_0048" 1 "ductal"
"mouse1_lib1.final_cell_0049" 1 "beta"
"mouse1_lib1.final_cell_0050" 1 "ductal"
"mouse1_lib1.final_cell_0051" 1 "gamma"
"mouse1_lib1.final_cell_0052" 1 "beta"
"mouse1_lib1.final_cell_0053" 1 "ductal"
"mouse1_lib1.final_cell_0054" 1 "ductal"
"mouse1_lib1.final_cell_0055" 1 "ductal"
"mouse1_lib1.final_cell_0056" 1 "beta"
"mouse1_lib1.final_cell_0057" 1 "ductal"
"mouse1_lib1.final_cell_0058" 1 "endothelial"
"mouse1_lib1.final_cell_0059" 1 "ductal"
"mouse1_lib1.final_cell_0060" 1 "beta"
"mouse1_lib1.final_cell_0061" 1 "beta"
"mouse1_lib1.final_cell_0062" 1 "ductal"
"mouse1_lib1.final_cell_0063" 1 "ductal"
"mouse1_lib1.final_cell_0064" 1 "endothelial"
"mouse1_lib1.final_cell_0065" 1 "beta"
"mouse1_lib1.final_cell_0066" 1 "beta"
"mouse1_lib1.final_cell_0067" 1 "ductal"
"mouse1_lib1.final_cell_0068" 1 "beta"
"mouse1_lib1.final_cell_0069" 1 "endothelial"
"mouse1_lib1.final_cell_0070" 1 "ductal"
"mouse1_lib1.final_cell_0071" 1 "beta"
"mouse1_lib1.final_cell_0072" 1 "beta"
"mouse1_lib1.final_cell_0073" 1 "endothelial"
"mouse1_lib1.final_cell_0074" 1 "beta"
"mouse1_lib1.final_cell_0075" 1 "beta"
"mouse1_lib1.final_cell_0076" 1 "ductal"
"mouse1_lib1.final_cell_0077" 1 "beta"
"mouse1_lib1.final_cell_0078" 1 "ductal"
"mouse1_lib1.final_cell_0079" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0080" 1 "beta"
"mouse1_lib1.final_cell_0081" 1 "ductal"
"mouse1_lib1.final_cell_0082" 1 "ductal"
"mouse1_lib1.final_cell_0083" 1 "delta"
"mouse1_lib1.final_cell_0084" 1 "alpha"
"mouse1_lib1.final_cell_0085" 1 "ductal"
"mouse1_lib1.final_cell_0086" 1 "beta"
"mouse1_lib1.final_cell_0087" 1 "ductal"
"mouse1_lib1.final_cell_0088" 1 "ductal"
"mouse1_lib1.final_cell_0089" 1 "beta"
"mouse1_lib1.final_cell_0090" 1 "ductal"
"mouse1_lib1.final_cell_0091" 1 "delta"
"mouse1_lib1.final_cell_0092" 1 "endothelial"
"mouse1_lib1.final_cell_0093" 1 "beta"
"mouse1_lib1.final_cell_0094" 1 "beta"
"mouse1_lib1.final_cell_0095" 1 "ductal"
"mouse1_lib1.final_cell_0096" 1 "delta"
"mouse1_lib1.final_cell_0097" 1 "beta"
"mouse1_lib1.final_cell_0098" 1 "ductal"
"mouse1_lib1.final_cell_0099" 1 "ductal"
"mouse1_lib1.final_cell_0100" 1 "endothelial"
"mouse1_lib1.final_cell_0101" 1 "beta"
"mouse1_lib1.final_cell_0102" 1 "endothelial"
"mouse1_lib1.final_cell_0103" 1 "beta"
"mouse1_lib1.final_cell_0104" 1 "ductal"
"mouse1_lib1.final_cell_0105" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0106" 1 "beta"
"mouse1_lib1.final_cell_0107" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0108" 1 "beta"
"mouse1_lib1.final_cell_0109" 1 "beta"
"mouse1_lib1.final_cell_0110" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0111" 1 "delta"
"mouse1_lib1.final_cell_0112" 1 "macrophage"
"mouse1_lib1.final_cell_0113" 1 "beta"
"mouse1_lib1.final_cell_0114" 1 "beta"
"mouse1_lib1.final_cell_0115" 1 "endothelial"
"mouse1_lib1.final_cell_0116" 1 "macrophage"
"mouse1_lib1.final_cell_0117" 1 "beta"
"mouse1_lib1.final_cell_0118" 1 "beta"
"mouse1_lib1.final_cell_0119" 1 "beta"
"mouse1_lib1.final_cell_0120" 1 "endothelial"
"mouse1_lib1.final_cell_0121" 1 "beta"
"mouse1_lib1.final_cell_0122" 1 "delta"
"mouse1_lib1.final_cell_0123" 1 "beta"
"mouse1_lib1.final_cell_0124" 1 "macrophage"
"mouse1_lib1.final_cell_0125" 1 "beta"
"mouse1_lib1.final_cell_0126" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0127" 1 "ductal"
"mouse1_lib1.final_cell_0128" 1 "beta"
"mouse1_lib1.final_cell_0129" 1 "beta"
"mouse1_lib1.final_cell_0130" 1 "beta"
"mouse1_lib1.final_cell_0131" 1 "beta"
"mouse1_lib1.final_cell_0132" 1 "beta"
"mouse1_lib1.final_cell_0133" 1 "ductal"
"mouse1_lib1.final_cell_0134" 1 "beta"
"mouse1_lib1.final_cell_0135" 1 "ductal"
"mouse1_lib1.final_cell_0136" 1 "delta"
"mouse1_lib1.final_cell_0137" 1 "beta"
"mouse1_lib1.final_cell_0138" 1 "beta"
"mouse1_lib1.final_cell_0139" 1 "alpha"
"mouse1_lib1.final_cell_0140" 1 "ductal"
"mouse1_lib1.final_cell_0141" 1 "beta"
"mouse1_lib1.final_cell_0142" 1 "beta"
"mouse1_lib1.final_cell_0143" 1 "beta"
"mouse1_lib1.final_cell_0144" 1 "beta"
"mouse1_lib1.final_cell_0145" 1 "endothelial"
"mouse1_lib1.final_cell_0146" 1 "delta"
"mouse1_lib1.final_cell_0147" 1 "beta"
"mouse1_lib1.final_cell_0148" 1 "beta"
"mouse1_lib1.final_cell_0149" 1 "beta"
"mouse1_lib1.final_cell_0150" 1 "beta"
"mouse1_lib1.final_cell_0151" 1 "ductal"
"mouse1_lib1.final_cell_0152" 1 "beta"
"mouse1_lib1.final_cell_0153" 1 "ductal"
"mouse1_lib1.final_cell_0154" 1 "beta"
"mouse1_lib1.final_cell_0155" 1 "ductal"
