"cell_type2" "cell_type1"
"16cell" "16cell" "16cell"
"16cell.1" "16cell" "16cell"
"16cell.2" "16cell" "16cell"
"16cell.3" "16cell" "16cell"
"16cell.4" "16cell" "16cell"
"16cell.5" "16cell" "16cell"
"16cell.6" "16cell" "16cell"
"16cell.7" "16cell" "16cell"
"16cell.8" "16cell" "16cell"
"16cell.9" "16cell" "16cell"
"16cell.10" "16cell" "16cell"
"16cell.11" "16cell" "16cell"
"16cell.12" "16cell" "16cell"
"16cell.13" "16cell" "16cell"
"16cell.14" "16cell" "16cell"
"16cell.15" "16cell" "16cell"
"16cell.16" "16cell" "16cell"
"16cell.17" "16cell" "16cell"
"16cell.18" "16cell" "16cell"
"16cell.19" "16cell" "16cell"
"16cell.20" "16cell" "16cell"
"16cell.21" "16cell" "16cell"
"16cell.22" "16cell" "16cell"
"16cell.23" "16cell" "16cell"
"16cell.24" "16cell" "16cell"
"16cell.25" "16cell" "16cell"
"16cell.26" "16cell" "16cell"
"16cell.27" "16cell" "16cell"
"16cell.28" "16cell" "16cell"
"16cell.29" "16cell" "16cell"
"16cell.30" "16cell" "16cell"
"16cell.31" "16cell" "16cell"
"16cell.32" "16cell" "16cell"
"16cell.33" "16cell" "16cell"
"16cell.34" "16cell" "16cell"
"16cell.35" "16cell" "16cell"
"16cell.36" "16cell" "16cell"
"16cell.37" "16cell" "16cell"
"16cell.38" "16cell" "16cell"
"16cell.39" "16cell" "16cell"
"16cell.40" "16cell" "16cell"
"16cell.41" "16cell" "16cell"
"16cell.42" "16cell" "16cell"
"16cell.43" "16cell" "16cell"
"16cell.44" "16cell" "16cell"
"16cell.45" "16cell" "16cell"
"16cell.46" "16cell" "16cell"
"16cell.47" "16cell" "16cell"
"16cell.48" "16cell" "16cell"
"4cell" "4cell" "4cell"
"4cell.1" "4cell" "4cell"
"4cell.2" "4cell" "4cell"
"4cell.3" "4cell" "4cell"
"4cell.4" "4cell" "4cell"
"4cell.5" "4cell" "4cell"
"4cell.6" "4cell" "4cell"
"4cell.7" "4cell" "4cell"
"4cell.8" "4cell" "4cell"
"4cell.9" "4cell" "4cell"
"4cell.10" "4cell" "4cell"
"4cell.11" "4cell" "4cell"
"4cell.12" "4cell" "4cell"
"4cell.13" "4cell" "4cell"
"8cell" "8cell" "8cell"
"8cell.1" "8cell" "8cell"
"8cell.2" "8cell" "8cell"
"8cell.3" "8cell" "8cell"
"8cell.4" "8cell" "8cell"
"8cell.5" "8cell" "8cell"
"8cell.6" "8cell" "8cell"
"8cell.7" "8cell" "8cell"
"8cell.8" "8cell" "8cell"
"8cell.9" "8cell" "8cell"
"8cell.10" "8cell" "8cell"
"8cell.11" "8cell" "8cell"
"8cell.12" "8cell" "8cell"
"8cell.13" "8cell" "8cell"
"8cell.14" "8cell" "8cell"
"8cell.15" "8cell" "8cell"
"8cell.16" "8cell" "8cell"
"8cell.17" "8cell" "8cell"
"8cell.18" "8cell" "8cell"
"8cell.19" "8cell" "8cell"
"8cell.20" "8cell" "8cell"
"8cell.21" "8cell" "8cell"
"8cell.22" "8cell" "8cell"
"8cell.23" "8cell" "8cell"
"8cell.24" "8cell" "8cell"
"8cell.25" "8cell" "8cell"
"8cell.26" "8cell" "8cell"
"8cell.27" "8cell" "8cell"
"8cell.28" "8cell" "8cell"
"8cell.29" "8cell" "8cell"
"8cell.30" "8cell" "8cell"
"8cell.31" "8cell" "8cell"
"8cell.32" "8cell" "8cell"
"8cell.33" "8cell" "8cell"
"8cell.34" "8cell" "8cell"
"8cell.35" "8cell" "8cell"
"8cell.36" "8cell" "8cell"
"early2cell" "early2cell" "zygote"
"early2cell.1" "early2cell" "zygote"
"early2cell.2" "early2cell" "zygote"
"early2cell.3" "early2cell" "zygote"
"early2cell.4" "early2cell" "zygote"
"early2cell.5" "early2cell" "zygote"
"early2cell.6" "early2cell" "zygote"
"early2cell.7" "early2cell" "zygote"
"earlyblast" "earlyblast" "blast"
"earlyblast.1" "earlyblast" "blast"
"earlyblast.2" "earlyblast" "blast"
"earlyblast.3" "earlyblast" "blast"
"earlyblast.4" "earlyblast" "blast"
"earlyblast.5" "earlyblast" "blast"
"earlyblast.6" "earlyblast" "blast"
"earlyblast.7" "earlyblast" "blast"
"earlyblast.8" "earlyblast" "blast"
"earlyblast.9" "earlyblast" "blast"
"earlyblast.10" "earlyblast" "blast"
"earlyblast.11" "earlyblast" "blast"
"earlyblast.12" "earlyblast" "blast"
"earlyblast.13" "earlyblast" "blast"
"earlyblast.14" "earlyblast" "blast"
"earlyblast.15" "earlyblast" "blast"
"earlyblast.16" "earlyblast" "blast"
"earlyblast.17" "earlyblast" "blast"
"earlyblast.18" "earlyblast" "blast"
"earlyblast.19" "earlyblast" "blast"
"earlyblast.20" "earlyblast" "blast"
"earlyblast.21" "earlyblast" "blast"
"earlyblast.22" "earlyblast" "blast"
"earlyblast.23" "earlyblast" "blast"
"earlyblast.24" "earlyblast" "blast"
"earlyblast.25" "earlyblast" "blast"
"earlyblast.26" "earlyblast" "blast"
"earlyblast.27" "earlyblast" "blast"
"earlyblast.28" "earlyblast" "blast"
"earlyblast.29" "earlyblast" "blast"
"earlyblast.30" "earlyblast" "blast"
"earlyblast.31" "earlyblast" "blast"
"earlyblast.32" "earlyblast" "blast"
"earlyblast.33" "earlyblast" "blast"
"earlyblast.34" "earlyblast" "blast"
"earlyblast.35" "earlyblast" "blast"
"earlyblast.36" "earlyblast" "blast"
"earlyblast.37" "earlyblast" "blast"
"earlyblast.38" "earlyblast" "blast"
"earlyblast.39" "earlyblast" "blast"
"earlyblast.40" "earlyblast" "blast"
"earlyblast.41" "earlyblast" "blast"
"earlyblast.42" "earlyblast" "blast"
"late2cell" "late2cell" "2cell"
"late2cell.1" "late2cell" "2cell"
"late2cell.2" "late2cell" "2cell"
"late2cell.3" "late2cell" "2cell"
"late2cell.4" "late2cell" "2cell"
"late2cell.5" "late2cell" "2cell"
"late2cell.6" "late2cell" "2cell"
"late2cell.7" "late2cell" "2cell"
